"PFAM","bin","n_count","mean_tAI","label","source_df","additional"
"PF08238.16",6,4000868,0.0522681790318731,"lowest","hilo_prot_len",""
"PF13516.10",5,3946340,0.0569191902162636,"lowest","hilo_prot_len",""
"PF13516.10",6,3792930,0.0565355176145465,"lowest","hilo_prot_len",""
"PF00069.29",2,3562845,0.0524596316863428,"lowest","hilo_prot_len",""
"PF00082.26",NA,168921,0.531327173762518,"highest","hilo_signal",""
"PF00262.22",NA,59536,0.540024390114253,"highest","hilo_signal",""
"PF01522.25",NA,29241,0.519061294396856,"highest","hilo_signal",""
"PF06280.16",NA,27225,0.519579203030452,"highest","hilo_signal",""
"PF00085.24",NA,25921,0.527009112930752,"highest","hilo_signal",""
"PF00012.24",NA,20164,0.536344282390751,"highest","hilo_signal",""
"PF02225.26",NA,19321,0.51910151362888,"highest","hilo_signal",""
"PF05922.20",NA,18769,0.516485389329762,"highest","hilo_signal",""
"PF00399.23",NA,14400,0.546311303523879,"highest","hilo_signal",""
"PF10342.13",NA,14161,0.525758660827294,"highest","hilo_signal",""
"PF02013.20",NA,477481,0.0572524372630903,"lowest","hilo_signal",""
"PF00734.22",NA,116964,0.0563924023519355,"lowest","hilo_signal",""
"PF00560.37",NA,24025,0.0637701445842343,"lowest","hilo_signal",""
"PF01522.25",NA,19321,0.0531650315029056,"lowest","hilo_signal",""
"PF07732.19",NA,13924,0.0431515131740249,"lowest","hilo_signal",""
"PF00394.26",NA,13225,0.042982891336639,"lowest","hilo_signal",""
"PF01565.27",NA,12769,0.0425080112394694,"lowest","hilo_signal",""
"PF00026.27",NA,12321,0.044468633924311,"lowest","hilo_signal",""
"PF07731.18",NA,12321,0.0431137988154224,"lowest","hilo_signal",""
"PF00082.26",NA,11236,0.0434919681682904,"lowest","hilo_signal",""
"PF00005.31",10,801837,0.513694667044783,"highest","hilo_TM_presence",""
"PF00005.31",9,706020,0.5159957788704,"highest","hilo_TM_presence",""
"PF00083.28",9,618110,0.515333730109216,"highest","hilo_TM_presence",""
"PF07690.20",9,454848,0.512275714095064,"highest","hilo_TM_presence",""
"PF00664.27",10,382840,0.515668584706996,"highest","hilo_TM_presence",""
"PF00083.28",8,362730,0.525901983830395,"highest","hilo_TM_presence",""
"PF00005.31",7,356372,0.519025557166222,"highest","hilo_TM_presence",""
"PF00005.31",5,349648,0.513533141245678,"highest","hilo_TM_presence",""
"PF07690.20",10,345552,0.51338095501217,"highest","hilo_TM_presence",""
"PF00005.31",8,300899,0.525450616227652,"highest","hilo_TM_presence",""
"PF00067.26",2,1502144,0.0430284231323662,"lowest","hilo_TM_presence",""
"PF00067.26",1,1233904,0.042401690643764,"lowest","hilo_TM_presence",""
"PF00005.31",10,989500,0.0406021151195314,"lowest","hilo_TM_presence",""
"PF00005.31",9,926172,0.0463497380195409,"lowest","hilo_TM_presence",""
"PF00067.26",3,743408,0.0381615688645103,"lowest","hilo_TM_presence",""
"PF00664.27",10,694880,0.0396903747253099,"lowest","hilo_TM_presence",""
"PF00664.27",9,681120,0.0494762337025408,"lowest","hilo_TM_presence",""
"PF07690.20",9,609076,0.0362771625411859,"lowest","hilo_TM_presence",""
"PF00005.31",7,554120,0.0505194006461058,"lowest","hilo_TM_presence",""
"PF07690.20",8,504348,0.035869029837349,"lowest","hilo_TM_presence",""
"PF00005.31",NA,2825761,0.515199152764376,"highest","hilo_TM_count",""
"PF00083.28",NA,1276900,0.519244964105365,"highest","hilo_TM_count",""
"PF00664.27",NA,1267876,0.518723872280906,"highest","hilo_TM_count",""
"PF07690.20",NA,1218816,0.515019223864089,"highest","hilo_TM_count",""
"PF00153.31",NA,356409,0.533057384823305,"highest","hilo_TM_count",""
"PF00067.26",NA,270400,0.517717376415799,"highest","hilo_TM_count",""
"PF01061.28",NA,239121,0.509744154007299,"highest","hilo_TM_count",""
"PF00122.24",NA,103041,0.523272571640169,"highest","hilo_TM_count",""
"PF00137.25",NA,84681,0.523769569251669,"highest","hilo_TM_count",""
"PF19055.4",NA,72900,0.506887291557783,"highest","hilo_TM_count",""
"PF00005.31",NA,3916441,0.0467884418195829,"lowest","hilo_TM_count",""
"PF00067.26",NA,3671056,0.0416943077000486,"lowest","hilo_TM_count",""
"PF00664.27",NA,2958400,0.0474454122917695,"lowest","hilo_TM_count",""
"PF07690.20",NA,1898884,0.0389125443956518,"lowest","hilo_TM_count",""
"PF00520.35",NA,817216,0.0502328775213274,"lowest","hilo_TM_count",""
"PF00083.28",NA,613089,0.044001364423293,"lowest","hilo_TM_count",""
"PF13520.10",NA,129600,0.0431075188656668,"lowest","hilo_TM_count",""
"PF00153.31",NA,88209,0.049734644396098,"lowest","hilo_TM_count",""
"PF01061.28",NA,59536,0.0422203415413818,"lowest","hilo_TM_count",""
"PF01699.28",NA,55696,0.0474793094376631,"lowest","hilo_TM_count",""
"PF00400.36",NA,12006225,0.550004848409302,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00069.29",NA,6848689,0.542286991511324,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00271.35",NA,2845969,0.541021536155999,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00076.26",NA,2199289,0.544335439823522,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00005.31",NA,2140369,0.529311448848277,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00270.33",NA,1555009,0.53831872262884,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00004.33",NA,1212201,0.540848668796008,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00153.31",NA,801025,0.542591100500662,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00067.26",NA,753424,0.535059412273937,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF00664.27",NA,674041,0.528866365898649,"highest","hilo_all_values_ONLY_PFAMs_count",""
"PF07714.21",NA,32855824,0.0520301134068503,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF13516.10",NA,27984100,0.0569067011141426,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00069.29",NA,24830289,0.0506761988572203,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF08238.16",NA,21492496,0.0555243561827621,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00400.36",NA,15642025,0.0497669756304669,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00067.26",NA,14561856,0.0423994603721003,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00005.31",NA,3810304,0.0433103521322446,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00664.27",NA,2496400,0.0436212072051353,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00172.22",NA,2102500,0.0378349979157892,"lowest","hilo_all_values_ONLY_PFAMs_count",""
"PF00271.35",NA,1846881,0.0509177458885738,"lowest","hilo_all_values_ONLY_PFAMs_count",""
